"Keyword Phrase","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","Organic","Sponsored Product","Amazon Recommended","Amazon Choice","Highly Rated","Sponsored Brand Header","Sponsored Brand Video","Top Rated From Our Brand","Trending Now","Amazon Rec. Rank","Sponsored Rank","Organic Rank"
"wireless charge pad",9,18,350,6,1.81,1.52,2.64,368,20000,1,0,0,0,0,0,0,0,0,"-","-",43
"anchor charger",17,2028,937,8,2.37,1.3,2.58,381,462,1,1,0,0,0,0,0,0,0,"-",16,43
"morphie charging pad","-","-",0,"-",,,,128,259,1,0,0,0,0,0,0,0,0,"-","-",43
"travel tech",7,17,498,16,0.99,0.64,1.07,408,30000,1,0,0,0,0,0,0,0,0,"-","-",43
"anket",3,5091,448,-4,1.85,1.44,1.95,74,88,1,0,0,0,0,0,0,0,0,"-","-",43
"belkin phone dock","-",544,106,-24,,,,89,195,1,0,0,0,0,0,0,0,0,"-","-",43
"cordless charger station","-",6,58,-12,,,,229,10000,1,0,0,0,0,0,0,0,0,"-","-",43
"iphone charging pads","-",14,140,-17,,,,372,10000,1,0,0,0,0,0,0,0,0,"-","-",43
"iphone charger cube anker","-",896,310,61,,,,155,346,1,1,0,0,0,0,0,0,0,"-",46,43
"ankwr","-",30,236,-11,1.35,1.18,1.77,366,8000,1,1,0,0,0,0,0,0,0,"-",27,43
"3-in-1 wireless charging station","-",56,334,13,1.48,1.1,1.9,364,6000,1,0,0,0,0,0,0,0,0,"-","-",43
"watch iphone charging station","-",64,255,37,,,,159,4000,1,0,0,0,0,0,0,0,0,"-","-",43
"3 chargers in one",12,8,470,"-",1.97,1.26,2.17,241,60000,1,0,0,0,0,1,0,0,0,"-","-",43
"apple+charging+station","-",14,138,-33,,,,208,10000,1,0,0,0,0,0,0,0,0,"-","-",43
"wireless charger 3 in 1 fast charging station","-",36,72,-12,,,,189,2000,1,0,0,0,0,0,0,0,0,"-","-",43
"anker desktop charging station",8,1145,736,-3,1.76,1.37,2.01,242,643,1,1,0,0,0,0,0,0,0,"-",36,43
"journey charger 3in1 apple",12,690,458,-3,1.38,0.95,1.85,247,664,1,0,0,0,0,0,0,0,0,"-","-",43
"standby iphone charger","-",68,67,41,1.48,0.94,2.09,106,987,1,0,0,0,0,0,0,0,0,"-","-",43
"belkin 3 in 1 wireless charging station","-",226,126,3,,,,141,557,1,0,0,0,0,0,0,0,0,"-","-",43
"anker magsafe charger car",5,1023,352,11,,,,198,344,1,0,0,0,0,0,0,0,0,"-","-",43
"anker 622 portable charger","-",270,116,-36,,,,122,429,1,0,0,0,0,0,0,0,0,"-","-",43
"cargador inalámbrico apple","-",16,317,13,1.33,1.07,1.59,266,20000,1,0,0,0,0,0,0,0,0,"-","-",43
"magsafe 3 desk charger","-",137,137,-41,,,,184,1000,1,0,0,0,0,0,0,0,0,"-","-",43
"anker f2000 power station","-",1156,126,-16,1.88,0.86,2.61,52,109,1,0,0,0,0,0,0,0,0,"-","-",43
"anker prime charging docking station","-",392,263,-26,1.39,1.07,1.7,215,671,1,0,0,0,0,0,0,0,0,"-","-",43
"3 in 1 portable charger iphone","-",141,141,16,,,,179,1000,1,0,0,0,0,0,0,0,0,"-","-",43
"anker charging station 100w","-",155,145,-21,,,,159,935,1,0,0,0,0,0,0,0,0,"-","-",43
"anker power charging","-",83,249,-3,,,,192,3000,1,1,0,0,0,0,0,0,0,"-",13,43
"charging pad",159,278,8353,-6,1.04,0.62,1.6,732,30000,1,0,1,0,0,0,0,0,0,88,"-",44
"anker docking station",155,10102,8880,-10,1.46,1.16,2.4,445,879,1,0,0,0,0,0,0,0,0,"-","-",44
"cargador portatil anker","-",392,392,57,1.12,0.84,1.5,132,1000,1,0,0,0,0,0,0,0,0,"-","-",44
"anker power bank wireless",19,1025,736,23,1.39,1.07,1.88,303,718,1,0,0,0,0,0,0,0,0,"-","-",44
"3 bank charger","-",22,222,10,1.27,1,1.56,112,10000,1,0,0,0,0,0,0,0,0,"-","-",44
"anker portable",11,148,591,6,1.93,1.25,2.36,334,4000,1,1,0,0,0,0,0,0,0,"-",48,44
"travel tech gadgets","-",97,193,-3,0.82,0.66,1.01,164,2000,1,0,0,0,0,0,0,0,0,"-","-",44
"ankerdirect","-",336,181,56,,,,47,538,1,0,0,0,0,0,0,0,0,"-","-",44
"iphone charge anker","-",67,201,-19,,,,304,3000,1,1,0,0,0,0,0,0,0,"-",21,44
"magnatic charger for iphone","-",29,293,47,,,,295,10000,1,0,0,0,0,0,0,0,0,"-","-",44
"apple watch charging station and phone","-",57,227,39,,,,211,4000,1,0,0,0,0,0,0,0,0,"-","-",44
"3-in-1 apple charging station",22,166,664,-20,1.73,1.16,1.92,392,4000,1,0,0,0,0,0,0,0,0,"-","-",44
"mophie 3-in-1 wireless charging stand","-",2302,221,19,,,,66,96,1,0,0,0,0,0,0,0,0,"-","-",44
"anker power bank wireless charger","-",327,247,-16,1.1,0.84,1.37,184,755,1,1,0,0,0,0,0,0,0,"-",19,44
"magsafe 3 charger",29,92,736,-15,1.67,1.24,2.17,356,8000,1,1,0,0,0,0,0,0,0,"-",27,44
"jrny 3 in 1 charging station apple",3,718,395,49,1.47,0.86,1.88,183,550,1,0,0,0,0,0,0,0,0,"-","-",44
"spigen charging station","-",697,202,-27,1.14,0.83,1.4,234,290,1,0,0,0,0,0,0,0,0,"-","-",44
"anker protable chargers","-",83,249,69,1.59,1.02,1.82,98,3000,1,0,0,0,0,0,0,0,0,"-","-",44
"cargador 3 en 1 magsafe","-",17,68,13,1.87,1.39,2.49,110,4000,1,0,0,0,0,0,0,0,0,"-","-",44
"magnetic charger station","-",44,349,15,,,,236,8000,1,0,0,0,0,0,0,0,0,"-","-",44
"iphone magsafe charger 3 in 1","-",185,185,-10,,,,283,1000,1,0,0,0,0,0,0,0,0,"-","-",44
"anker charger for iphone 15","-",136,272,-8,,,,256,2000,1,1,0,0,0,0,0,0,0,"-",24,44
"anker blue","-",227,167,-36,,,,129,737,1,1,0,0,0,0,0,0,0,"-",17,44
"3 in 1 wireless charging station magsafe","-",214,214,47,,,,84,1000,1,0,0,0,0,0,0,0,0,"-","-",44
"3 in one portable charger iphone watch and airpods","-",102,102,15,,,,80,1000,1,0,0,0,0,0,0,0,0,"-","-",44
"anker chargers for iphone 15","-",35,70,-37,,,,28,2000,1,0,0,0,0,0,0,0,0,"-","-",44
"magsafe 25w",3,2214,434,2,1.05,0.7,1.13,193,196,1,0,0,0,0,0,0,0,0,"-","-",44
"iphone 16 charger anker",32,736,736,8,1.61,1.38,2.34,286,1000,1,1,0,0,0,0,0,0,0,"-",27,44
"anker power bank zolo",7,2731,456,3,1.36,0.91,1.41,205,167,1,0,0,0,0,0,0,0,0,"-","-",44
"nightstand essentials iphone charger","-",694,236,-10,,,,218,340,1,0,0,0,0,0,0,0,0,"-","-",44
"power bank magsafe anker","-",558,169,2,,,,143,303,1,1,0,0,0,0,0,0,0,"-",6,44
"anker maggo 10k slim","-",3057,324,18,,,,75,106,1,0,0,0,0,0,0,0,0,"-","-",44
"anker magsafe charger slim","-",318,110,1,,,,87,346,1,0,0,0,0,0,0,0,0,"-","-",44
"anker charger for iphone 14","-",105,105,-32,,,,101,1000,1,0,0,0,0,0,0,0,0,"-","-",44
"lisen charging station for apple magsafe multiple devices - 3 in 1 foldable magnetic wireless charge","-",480,230,-36,1.26,0.83,1.78,172,479,1,0,0,0,0,0,0,0,0,"-","-",44
"wireless charging pad multiple devices",7,113,450,5,1.08,0.73,1.45,349,4000,1,0,0,0,0,0,0,0,0,"-","-",45
"anker rapid charger","-",33,23,-21,,,,60,689,1,0,0,0,0,0,0,0,0,"-","-",45
"compact charging station","-",33,327,-6,1.51,1.24,1.61,216,10000,1,0,0,0,0,0,0,0,0,"-","-",45
"travel watch charger",10,51,357,12,1.2,0.89,1.48,291,7000,1,0,0,0,0,0,0,0,0,"-","-",45
"anker small charger","-",52,208,-12,,,,332,4000,1,1,0,0,0,0,0,0,0,"-",31,45
"i phone charging pad",12,42,417,-5,1.19,0.98,1.55,359,10000,1,0,0,0,0,0,0,0,0,"-","-",45
"power bank for apple watch",5,359,359,-27,1.1,0.83,1.41,312,1000,1,0,0,0,0,0,0,0,0,"-","-",45
"anker wireless charger android","-",111,95,26,,,,93,859,1,0,0,0,0,0,0,0,0,"-","-",45
"anker 622 magnetic battery maggo","-",963,314,13,0.94,0.86,1.41,106,326,1,0,0,0,0,0,0,0,0,"-","-",45
"anker 715 charger","-",2853,271,35,,,,50,95,1,0,0,0,0,0,0,0,0,"-","-",45
"anker 622 magnetic wireless portable charger","-",61,30,-17,1.01,0.93,1.61,131,494,1,0,0,0,0,0,0,0,0,"-","-",45
"anker 713",5,9951,408,-22,1.87,1.57,2.06,72,41,1,0,0,0,0,0,0,0,0,"-","-",45
"three way charger for iphone, airpods and apple watch",4,476,414,-5,1.27,0.92,1.58,217,869,1,0,0,0,0,0,0,0,0,"-","-",45
"magsafe puck",7,2820,485,1,1.13,0.85,1.67,245,172,1,0,0,0,0,0,0,0,0,"-","-",45
"anker charger gan",3,656,414,"-",1.27,1.21,1.76,266,631,1,0,0,0,0,0,0,0,0,"-","-",45
"iphone standby charger","-",52,52,-22,1.83,1.39,2.2,182,1000,1,0,0,0,0,0,0,0,0,"-","-",45
"magsafe iphone charging station","-",71,214,12,,,,251,3000,1,0,0,0,0,0,0,0,0,"-","-",45
"anker portable charger iphone 12","-",240,226,-13,,,,186,942,1,0,0,0,0,0,0,0,0,"-","-",45
"anker 3-in-1 power bank 30w, fusion, built-in usb-c cable","-",2000,204,19,,,,105,102,1,0,0,0,0,0,0,0,0,"-","-",45
"anker prime fusion","-",1019,106,8,,,,22,104,1,0,0,0,0,0,0,0,0,"-","-",45
"magsafe module","-",507,103,-51,,,,94,203,1,0,0,0,0,0,0,0,0,"-","-",45
"anker mag case","-",1519,278,-4,,,,132,183,1,0,0,0,0,0,0,0,0,"-","-",45
"magnetic wireless charger for iphone: 3 in 1 travel charging station for apple devices for iphone 16","-",318,244,72,1.09,0.84,1.34,162,767,1,0,0,0,0,0,0,0,0,"-","-",45
"anker iphone 16 charger 2 pack","-",115,115,-40,,,,131,1000,1,0,0,0,0,0,0,0,0,"-","-",45
"anker maggo power bank 5000mah","-",571,218,1,,,,163,382,1,0,0,0,0,0,0,0,0,"-","-",45
"all in 1 charger","-",1,124,-41,,,,165,100000,1,0,0,0,0,0,0,0,0,"-","-",45
"3 in 1 wireless charger for iphone, foldable charging station for magsafe for iphone 16/15/14/13/12/",2,439,317,-6,1.58,0.87,1.77,125,722,1,0,0,0,0,0,0,0,0,"-","-",45
"wireless charging mophie","-",31,15,-40,,,,175,486,1,0,0,0,0,0,0,0,0,"-","-",46
"twelve south",34,6022,1897,4,1.09,0.64,1.52,404,315,1,0,0,0,0,0,0,0,0,"-","-",46
"iphone charger pad wireless","-","-",0,"-",,,,178,20000,1,0,0,0,0,0,0,0,0,"-","-",46
"wireless mophie charger iphone","-","-",0,"-",,,,130,542,1,0,0,0,0,0,0,0,0,"-","-",46
"anker iq charger","-",1077,168,-43,1.26,0.94,1.57,99,156,1,0,0,0,0,0,0,0,0,"-","-",46
"anker dock",60,4256,4256,-7,1.16,1.1,1.86,482,1000,1,1,0,0,0,0,0,0,0,"-",34,46
"anker portable chargers",3,204,408,-65,1.21,1.1,1.81,331,2000,1,1,0,0,0,0,0,0,0,"-",22,46
"anker 40w","-",1320,268,-19,2.08,1.31,2.43,190,203,1,0,0,0,0,0,0,0,0,"-","-",46
"minute charger","-",9,268,9,,,,238,30000,1,0,0,0,0,0,0,0,0,"-","-",46
"anker phone chargers",34,234,937,5,1.8,1.29,2.42,249,4000,1,0,1,0,0,0,0,0,0,47,"-",46
"wireless charer","-",3,345,-6,,,,364,100000,1,0,0,0,0,1,0,0,0,"-","-",46
"cell phone stand anker","-",190,147,-19,,,,187,774,1,0,0,0,0,0,0,0,0,"-","-",46
"rynd",11,3929,275,-16,1.3,0.76,1.62,55,70,1,0,0,0,0,0,0,0,0,"-","-",46
"bolder by anker","-",2395,273,101,,,,25,114,1,0,0,0,0,0,0,0,0,"-","-",46
"charging ststion","-",5,185,-23,,,,393,40000,1,0,0,0,0,0,0,0,0,"-","-",46
"chsrging station","-",4,173,-6,,,,174,40000,1,0,0,0,0,0,0,0,0,"-","-",46
"travel chargers for multiple devices",19,48,483,5,1.5,1.04,1.78,208,10000,1,0,0,0,0,0,0,0,0,"-","-",46
"3 in 1 apple charger",14,246,491,-9,1.42,0.92,1.83,364,2000,1,1,0,0,0,0,0,0,0,"-",57,46
"iphone 3 in 1 charging station",44,1388,1388,5,1.29,1.06,2.16,519,1000,1,0,0,0,0,1,0,0,0,"-","-",46
"3 in 1 charging",5,41,408,9,1.41,1.22,1.79,339,10000,1,1,0,0,0,0,0,0,0,"-",16,46
"journey charging station",6,510,368,40,1.41,0.86,1.73,113,722,1,0,0,0,0,0,0,0,0,"-","-",46
"apple watch magsafe charger","-",18,184,-34,,,,220,10000,1,0,0,0,0,0,0,0,0,"-","-",46
"anker macbook dock",5,421,379,9,,,,229,900,1,0,0,0,0,0,0,0,0,"-","-",46
"anker magsafe charger 622","-",107,58,18,1.29,0.84,1.42,24,540,1,0,0,0,0,0,0,0,0,"-","-",46
"3 in 1 magsafe wireless charger","-",181,181,2,,,,142,1000,1,1,0,0,0,0,0,0,0,"-",42,46
"anker prime 67w charger","-","-",0,"-",,,,83,240,1,0,0,0,0,0,0,0,0,"-","-",46
"apple certified airpods","-",108,216,145,,,,67,2000,1,0,0,0,0,0,0,0,0,"-","-",46
"anker magsafe cable","-",188,112,-49,,,,202,597,1,0,0,0,0,0,0,0,0,"-","-",46
"apple mag charger iphone","-",6,64,-19,,,,108,10000,1,0,0,0,0,0,0,0,0,"-","-",46
"anker maggo magnetic power banks with kickstands","-",1077,238,5,,,,136,221,1,0,0,0,0,0,0,0,0,"-","-",46
"anker power bank qi","-",1059,339,15,,,,258,320,1,1,0,0,0,0,0,0,0,"-",39,46
"rtops wireless charger 3 in 1, magnetic travel wireless charging station multiple devices,gan 3 in 1","-",338,159,25,,,,77,470,1,1,0,0,0,0,0,0,0,"-",33,46
"iphone charger anker",100,713,2138,10,1.72,1.24,1.99,499,3000,1,1,0,0,0,0,0,0,0,"-",33,47
"iphone charging station wireless","-",2,18,-3,1.77,1.55,2.36,234,10000,1,0,0,0,0,0,0,0,0,"-","-",47
"charging station 3 in 1",3,182,363,5,1.38,1.01,1.68,353,2000,1,0,0,0,0,0,0,0,0,"-","-",47
"iphone charging base",6,29,285,52,1.15,0.88,1.45,355,10000,1,0,0,0,0,0,0,0,0,"-","-",47
"mophie usb c cable",3,1902,310,-10,1.01,0.9,1.44,176,163,1,0,0,0,0,0,0,0,0,"-","-",47
"travel charging station for multiple devices","-",75,300,3,2.02,1.36,2.74,384,4000,1,0,0,0,0,0,0,0,0,"-","-",47
"apple watch charger bank","-",315,315,1,,,,221,1000,1,0,0,0,0,0,0,0,0,"-","-",47
"anker magnetic phone charger","-",165,132,-1,,,,112,801,1,1,0,0,0,0,0,0,0,"-",9,47
"chsrging pad","-",10,311,-6,,,,283,30000,1,0,0,0,0,0,0,0,0,"-","-",47
"wireless chrger","-",2,207,52,,,,213,100000,1,0,0,0,0,1,0,0,0,"-","-",47
"magsage",1,6,383,28,,,,116,60000,1,0,0,0,0,1,0,0,0,"-","-",47
"charginf station","-",4,143,10,,,,128,40000,1,0,0,0,0,0,0,0,0,"-","-",47
"compact apple charger","-",11,110,-10,1.42,1.11,1.67,81,10000,1,0,0,0,0,0,0,0,0,"-","-",47
"3 in 1 wireless charger",5,301,1202,9,1.2,0.86,1.86,575,4000,1,0,0,0,0,0,0,0,0,"-","-",47
"wireless charger 3 in 1",29,300,1200,-33,1.23,0.88,1.98,590,4000,1,0,0,0,0,0,0,0,0,"-","-",47
"3 way charger for iphone, airpods, apple watch wireless",57,1448,1387,2,1.6,0.99,1.84,498,958,1,0,0,0,0,0,0,0,0,"-","-",47
"3 and 1 charging station apple",30,123,736,-4,1.67,1.08,1.96,331,6000,1,0,0,0,0,0,0,0,0,"-","-",47
"magsafe wireless charging station","-",171,342,-2,1.34,1.33,1.91,207,2000,1,0,0,0,0,0,0,0,0,"-","-",47
"anker 727 charging station",8,5289,439,"-",1.94,1.41,2.17,68,83,1,0,0,0,0,0,0,0,0,"-","-",47
"apple 3 in one charger","-",47,93,-54,,,,223,2000,1,0,0,0,0,0,0,0,0,"-","-",47
"anker iphone 14","-",57,57,-47,,,,53,1000,1,1,0,0,0,0,0,0,0,"-",13,47
"magsafe 3 charger portable","-",57,113,-44,1.07,0.89,1.2,134,2000,1,0,0,0,0,0,0,0,0,"-","-",47
"nomad magsafe stand","-",567,156,-17,1.43,0.97,1.77,188,275,1,0,0,0,0,0,0,0,0,"-","-",47
"iphone 3 in 1 charging station magsafe","-",13,13,-52,1.99,1.51,2.73,137,1000,1,0,0,0,0,0,0,0,0,"-","-",47
"kixuny 3 in 1 wireless charging station for magsafe charger stand, wireless charger 3 in 1, foldable","-",144,84,-56,,,,156,584,1,0,0,0,0,0,0,0,0,"-","-",47
"anker supercharged multi-port desktop charging station","-",147,38,16,,,,64,259,1,0,0,0,0,0,0,0,0,"-","-",47
"anker ultra fast charger","-",44,44,-19,,,,98,1000,1,0,0,0,0,0,0,0,0,"-","-",47
"silicone charging stand compatible with magsafe chargers","-",500,198,-34,,,,90,396,1,0,0,0,0,0,0,0,0,"-","-",47
"anker iphone 16 pro","-",352,259,-15,1.75,1.13,2.12,216,736,1,1,0,0,0,0,0,0,0,"-",17,47
"portable charger anker",155,2811,5622,23,1.29,0.99,2.13,590,2000,1,1,0,0,0,0,0,0,0,"-",47,48
"apple iphone watch charger",7,26,257,1,1.53,1.01,2.07,265,10000,1,0,0,0,0,0,0,0,0,"-","-",48
"portable charger apple watch and iphone",2,129,388,-4,1.23,1.03,1.36,263,3000,1,0,0,0,0,0,0,0,0,"-","-",48
"belkin iphone and apple watch charger","-",250,184,-10,,,,235,735,1,0,0,0,0,0,0,0,0,"-","-",48
"spigen qi wireless charging stand","-",635,209,83,,,,44,329,1,0,0,0,0,0,0,0,0,"-","-",48
"anker iphone charger",303,2517,7552,-4,1.86,1.06,2.07,697,3000,1,1,1,0,0,0,0,0,0,58,10,48
"qi charging mat","-",43,20,-24,,,,176,468,1,0,0,0,0,0,0,0,0,"-","-",48
"magnetic charger for iphone",839,1940,19400,8,1.14,0.74,1.61,637,10000,1,1,0,0,0,0,0,0,0,"-",83,48
"in desk wireless charger","-",22,177,-22,,,,344,8000,1,0,0,0,0,0,0,0,0,"-","-",48
"anker wireless battery","-",31,31,-31,,,,92,1000,1,0,0,0,0,0,0,0,0,"-","-",48
"charger for iphone and watch","-",35,351,-10,1.42,1.07,1.59,367,10000,1,0,0,0,0,0,0,0,0,"-","-",48
"apple watch and phone charger",104,251,2507,-6,1.73,1.25,2.08,527,10000,1,0,0,0,0,0,0,0,0,"-","-",48
"foldable wireless","-","-",0,"-",,,,176,100000,1,0,0,0,0,0,0,0,0,"-","-",48
"iphone magsafe charger",283,333,6655,6,1.17,0.74,1.7,548,20000,1,0,1,0,0,0,0,0,0,19,"-",48
"apple phone charging pad","-",14,135,-44,,,,287,10000,1,0,0,0,0,0,0,0,0,"-","-",48
"charging pads for multiple devices","-",33,231,29,,,,224,7000,1,1,0,0,0,0,0,0,0,"-",23,48
"anker power bank power","-",181,181,-15,,,,191,1000,1,0,0,0,0,0,0,0,0,"-","-",48
"nomand wireless charger","-",451,287,94,,,,92,636,1,0,0,0,0,0,0,0,0,"-","-",48
"charger apple station","-","-",0,"-",,,,219,7000,1,1,0,0,0,0,0,0,0,"-",30,48
"charging statiom","-",4,172,-30,,,,295,40000,1,0,0,0,0,0,0,0,0,"-","-",48
"charrging pad","-",7,213,-1,,,,353,30000,1,0,0,0,0,0,0,0,0,"-","-",48
"3n1 wireless charging station apple",6,690,448,-2,1.41,0.98,1.67,236,649,1,0,0,0,0,0,0,0,0,"-","-",48
"anker power bank magsafe",122,12138,5887,37,1.31,1.03,1.98,397,485,1,0,0,0,0,0,0,0,0,"-","-",48
"belkin wireless charging station apple","-",371,277,-23,1.31,0.92,1.68,225,746,1,0,0,0,0,0,0,0,0,"-","-",48
"travel charging station for multiple devices apple",19,332,664,-9,1.57,1.03,1.86,411,2000,1,0,0,0,0,0,0,0,0,"-","-",48
"magsafe 3 charger iphone 13","-",49,148,-30,1.41,0.96,1.75,228,3000,1,0,0,0,0,0,0,0,0,"-","-",48
"anker power bank power stations",37,10473,7593,-1,1.76,0.92,2.06,459,725,1,1,0,0,0,0,0,0,0,"-",47,48
"iphone and watch charging station magsafe","-",155,155,-37,,,,226,1000,1,0,0,0,0,0,0,0,0,"-","-",48
"iphone 15 anker charger","-",37,74,-26,,,,117,2000,1,1,0,0,0,0,0,0,0,"-",34,48
"3-in-1 magnetic wireless charger for apple iphone, airpods, iwatch","-",136,136,-36,,,,165,1000,1,0,0,0,0,0,0,0,0,"-","-",48
"anker power bank charging base",3,2393,414,2,1.39,1.1,1.66,210,173,1,0,0,0,0,0,0,0,0,"-","-",48
"anker magnetic battery, 5,000mah foldable magnetic wireless portable charger with stand and usb-c (o","-",275,75,-8,,,,95,273,1,0,0,0,0,0,0,0,0,"-","-",48
"qi2 magsafe","-",566,308,12,1.15,1,1.2,279,544,1,0,0,0,0,0,0,0,0,"-","-",48
"apple watch ultra design power bank","-",78,27,-27,,,,85,344,1,0,0,0,0,0,0,0,0,"-","-",48
"ankor charging block","-",852,195,22,1.44,0.99,2.24,55,229,1,0,0,0,0,0,0,0,0,"-","-",48
"3 in one chargers for apple","-",39,77,-37,1.38,1.35,1.63,77,2000,1,0,0,0,0,0,0,0,0,"-","-",48
"anker charging station block","-",308,205,-10,,,,244,665,1,0,0,0,0,0,0,0,0,"-","-",48
"anker nano 3-in-1 portable iphone charger, 10,000mah power bank with built-in usb-c cable and foldab","-",472,77,-58,1.15,0.98,1.33,84,163,1,0,0,0,0,0,0,0,0,"-","-",48
"anker zolo magnetic","-",2696,248,-6,,,,61,92,1,0,0,0,0,0,0,0,0,"-","-",48
"anker desktop charger",30,3124,1818,14,1.6,1.36,1.85,513,582,1,0,0,0,0,0,0,0,0,"-","-",49
"triple charger",24,50,496,"-",1.56,1.22,1.9,270,10000,1,0,0,0,0,0,0,0,0,"-","-",49
"black apple watch charger",19,45,447,-2,1.27,0.92,1.51,220,10000,1,0,0,0,0,0,0,0,0,"-","-",49
"anker pink",3,1636,463,2,1.03,0.71,1.04,225,283,1,0,0,0,0,0,0,0,0,"-","-",49
"portable anker","-",14,86,-22,,,,84,6000,1,0,0,0,0,0,0,0,0,"-","-",49
"belkin apple charging station",7,534,379,-5,1.46,0.95,1.92,306,710,1,0,0,0,0,0,0,0,0,"-","-",49
"phone charging pad for iphone","-",15,146,-25,,,,326,10000,1,1,0,0,0,0,0,0,0,"-",10,49
"convert phone to wireless charging","-",29,117,-27,,,,156,4000,1,0,0,0,0,0,0,0,0,"-","-",49
"samsung wireless charger duo",2,1235,447,4,1.18,0.96,1.46,262,362,1,0,0,0,0,0,0,0,0,"-","-",49
"charging statuon","-",4,210,-15,,,,373,50000,1,0,0,0,0,0,0,0,0,"-","-",49
"iphone 12 charging pad",18,75,377,"-",1.93,1.5,2.06,333,5000,1,0,0,0,0,0,0,0,0,"-","-",49
"travel pod for apple watch","-",319,179,8,1.38,0.98,1.54,59,561,1,0,0,0,0,0,0,0,0,"-","-",49
"anker 323 charger",8,3728,384,135,1.48,1.08,1.89,63,103,1,0,0,0,0,0,0,0,0,"-","-",49
"anker 312","-",2468,274,24,1.88,1.35,2.25,56,111,1,0,0,0,0,0,0,0,0,"-","-",49
"45 3 in 1 wireless charging station for apple magsafe charger, 15w fast magnetic mag-safe charger st","-",279,173,-32,,,,203,620,1,0,0,0,0,0,0,0,0,"-","-",49
"3 in1 charging station apple","-",308,190,-31,,,,283,617,1,0,0,0,0,1,0,0,0,"-","-",49
"best travel chargers","-",2,159,-10,1.56,1.38,1.74,231,100000,1,0,0,0,0,0,0,0,0,"-","-",49
"anker docking stations","-",185,150,-49,,,,220,813,1,0,0,0,0,0,0,0,0,"-","-",49
"mag safe 3 in 1 charger","-",268,242,30,,,,198,903,1,0,0,0,0,0,0,0,0,"-","-",49
"12-in-1 multi accessories","-",12,239,-17,,,,246,20000,1,0,0,0,0,0,0,0,0,"-","-",49
"charger iphone and apple watch","-",4,208,10,,,,208,50000,1,0,0,0,0,0,0,0,0,"-","-",50
"charging station iphone and watch",14,145,434,-3,1.7,1.01,1.83,359,3000,1,0,0,0,0,0,0,0,0,"-","-",50
"mag genius","-",3941,335,108,0.75,0.56,1.14,34,85,1,0,0,0,0,0,0,0,0,"-","-",50
"charging mat",8,190,1332,13,0.99,0.61,1.5,604,7000,1,1,0,0,0,0,0,0,0,"-",5,50
"iphone airpods charging station",7,117,351,-9,1.3,0.99,1.57,280,3000,1,0,0,0,0,0,0,0,0,"-","-",50
"charger station apple","-",40,283,-11,,,,342,7000,1,0,0,0,0,0,0,0,0,"-","-",50
"morphie wireless","-","-",0,"-",,,,174,433,1,0,0,0,0,0,0,0,0,"-","-",50
"anker slim",9,1360,736,-4,1.32,0.96,1.51,198,541,1,0,0,0,0,0,0,0,0,"-","-",50
"anker wireless charger stand",9,601,470,2,1.61,1.03,1.84,255,782,1,1,0,0,0,0,0,0,0,"-",17,50
"iphone charger with watch","-",2,102,-20,,,,98,50000,1,0,0,0,0,0,0,0,0,"-","-",50
"anker power bank small",2,448,448,8,1.13,0.92,1.42,211,1000,1,0,0,0,0,0,0,0,0,"-","-",50
"3 in 1 apple charging station",25,873,873,-17,1.72,1.18,2.08,439,1000,1,0,0,0,0,1,0,0,0,"-","-",50
"mag safe charger pad","-",88,175,19,,,,233,2000,1,0,0,0,0,0,0,0,0,"-","-",50
"magsafe charging dock",8,412,412,-5,1.03,0.79,1.4,268,1000,1,0,0,0,0,0,0,0,0,"-","-",50
"3 in 1 magsafe charging station apple","-",184,184,-25,1.61,1.2,2.02,225,1000,1,0,0,0,0,0,0,0,0,"-","-",50
"anker magsafe car","-",587,246,41,,,,155,419,1,0,0,0,0,0,0,0,0,"-","-",50
"anker 525 charging station",4,4385,456,-11,1.85,1.38,2.32,118,104,1,0,0,0,0,0,0,0,0,"-","-",50
"3-in-1 usb-c charging cable for apple watch, iphone & airpods","-",331,317,24,1.44,1.07,1.71,295,959,1,0,0,0,0,0,0,0,0,"-","-",50
"cargador magsafe 3 en 1","-",6,32,9,1.78,1.48,2.45,148,5000,1,1,0,0,0,0,0,0,0,"-",21,50
"iphone 15 charger anker",10,132,263,-17,1.17,0.95,1.6,201,2000,1,1,1,0,0,0,0,0,0,121,25,50
"iphone 15 magsafe charging station","-",82,163,5,,,,118,2000,1,0,0,0,0,0,0,0,0,"-","-",50
"anker 621 magnetic battery maggo","-",805,239,-7,0.97,0.76,1.14,94,297,1,0,0,0,0,0,0,0,0,"-","-",50
"foldable 3 in 1 charging station","-",154,154,-7,,,,137,1000,1,0,0,0,0,0,0,0,0,"-","-",50
"belkin iphone charger magsafe","-",224,132,-26,,,,147,589,1,0,0,0,0,0,0,0,0,"-","-",50
"charger station for portable charger","-",1,82,-31,,,,104,70000,1,0,0,0,0,0,0,0,0,"-","-",50
"anker space one pro","-",898,448,-3,1.13,0.89,1.59,130,499,1,0,0,0,0,0,0,0,0,"-","-",50
"compact charger for travel","-",13,254,-13,,,,246,20000,1,0,0,0,0,0,0,0,0,"-","-",50
